id,Reference,Country,lat,long,rfrog,rprey,size,conn,nmodulos,nlink,NODF,mod,h2,dNODF,dmod,dh2,zNODF,zmod,zh2,NODFsig,modsig,h2sig,complete,intens,region,type
1,1,Argentina,"-31,671894","-60,625194",6,18,24,"0,6018519",4,"2,708333","43,35047","0,4087487","0,6574103","-19,14631","0,3937915","0,6516751","-4,43848","161,8698","593,6149",10,0,0,"92,99132","4,134408",Temperate,Nat
2,2,Argentina,"-31,666667","-60,500025",6,18,24,"0,4537037",3,"2,041667","31,4418","0,379789","0,4843911","-28,6643","0,3214321","0,4505776","-5,958732","45,14143","79,94846",10,0,0,"87,95075","1,596872",Temperate,Mod
3,3,Argentina,"-27,500158","-58,750208",16,24,40,"0,4140625",4,"3,975","39,51019","0,4816136","0,5061586","-26,79921","0,4449422","0,4934839","-12,85979","140,6798","402,5922",10,0,0,"89,49528","2,512966",Temperate,Nat
4,4,Australia,"-35,311198","148,655701",5,14,19,"0,52",4,"1,94","47,64","0,1161291","0,2299944","-23,01862","0,1047722","0,2234712","-5,207229","38,08399","125,6068",10,0,0,"92,50231","4,399545",Temperate,Nat
5,5,Brazil,"-22,433447","-42,983342",3,25,28,"0,64",2,"1,714286","44,9505","0,220327","0,4336077","-1,943199","0,1970823","0,4230949","-0,498577","45,28128","184,092","6,98",0,0,"88,23854","4,263801",Tropical,Nat
6,6,Brazil,"-16,230556","-48,080278",3,14,17,"0,5952381",2,"1,470588","42,13948","0,1075986","0,3573764","-14,56493","0,08919137","0,3543538","-3,261607","17,75538","61,17133",10,0,0,"80,01792","2,488641",Tropical,Nat
7,7,Brazil,"-22,983333","-48,416667",4,19,23,"0,6184211",3,"2,043478","42,85938","0,378148","0,391152","-15,58792","0,3221543","0,3642936","-3,18636","33,1912","64,30893","9,98",0,0,"72,33551","1,881489",Tropical,Mod
8,8,Brazil,"-7,180408","-35,094242",3,22,25,"0,6969697",2,"1,84","52,26747","0,05498715","0,3262417","-5,164796","0,04958649","0,3220895","-1,335636","34,79653","100,0986","8,98",0,0,"81,96283","5,806318",Tropical,Nat
9,9,Brazil,"-10,541669","-37,058378",16,20,36,"0,265625",5,"2,361111","41,36858","0,4291301","0,4104796","-12,37532","0,2988162","0,3341937","-3,240786","24,24635","37,84932",10,0,0,"72,6738","0,7449832",Tropical,Nat
10,10,Brazil,"-9,65","-37,666747",11,20,31,"0,35",3,"2,483871","42,91293","0,1659112","0,485276","-26,44387","0,1509968","0,4715143","-6,74423","54,64452","147,0354",10,0,0,"60,63708","2,487423",Tropical,Nat
11,11,Brazil,"-6,585997","-37,267303",16,23,39,"0,3532609",4,"3,333333","40,65393","0,3028438","0,4370453","-26,92551","0,2727174","0,422699","-8,11798","82,19314","258,8238",10,0,0,"79,20792","2,314087",Tropical,Nat
