Species,Code,MW,SVL,Weigh,Trail,Environment,Order,Class.inferior,Quantity,Length,Width,Obs,Volume,Ind.Volume
Ischnocnema juipoca,MRCM1470,4,16,"0,2",E_FA,eucalipto,Araneae,Araneae,1,4,2,,"67,021","67,021"
Boana latistriata,MRCM1471,10,40,"3,6",M_BVA,mata,Não identificado,Não identificado,1,,,,"0,000","0,000"
Ololygon obtriangulata,MRCM1475,4,22,"0,5",M_PA,mata,Vazio,Vazio,0,,,Matéria Vegetal,"0,000","0,000"
Physalaemus olfersii,MRCM1479,"4,45",23,1,M_BVB,mata,Hymenoptera,Formicidae,1,5,1,,"20,944","20,944"
Physalaemus olfersii,MRCM1479,"4,45",23,1,M_BVB,mata,Hymenoptera,Formicidae,3,3,1,,"37,699","12,566"
Physalaemus olfersii,MRCM1479,"4,45",23,1,M_BVB,mata,Hymenoptera,Formicidae,2,4,1,,"33,510","16,755"
Ischnocnema guentheri,MRCM1486,"9,5",33,"2,4",E_TA,eucalipto,Vazio,Vazio,0,,,,"0,000","0,000"
Bokermannohyla luctuosa,MRCM1488,20,58,"10,1",M_BVA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Boana prasina,MRCM1490,13,49,"5,6",M_BVA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Odontophrynus americanus,MRCM1494,"12,5",33,"5,1",M_BVA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Physalaemus cuvieri,MRCM1495,"5,5",25,"0,3",M_BVA,mata,Hymenoptera,Formicidae,2,2,1,,"16,755","8,378"
Physalaemus cuvieri,MRCM1495,"5,5",25,"0,3",M_BVA,mata,Não identificado,Não identificado,1,,,,"0,000","0,000"
Dendropsophus microps,MRCM1496,"3,6",13,"0,2",M_CB,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Boana prasina,MRCM1498,13,42,"4,5",E_TB,eucalipto,Vazio,Vazio,0,,,,"0,000","0,000"
Ololygon obtriangulata,MRCM1499,7,29,1,M_BVB,mata,Hemiptera,Heteroptera,1,,,Incompleto,"0,000","0,000"
Chiasmocleis mantiqueira,MRCM1501,"2,7","19,9","2,5",E_FA,eucalipto,Hymenoptera,Formicidae,1,4,1,,"16,755","16,755"
Chiasmocleis mantiqueira,MRCM1501,"2,7","19,9","2,5",E_FA,eucalipto,Hymenoptera,Formicidae,2,5,1,,"41,888","20,944"
Chiasmocleis mantiqueira,MRCM1503,"2,5","16,8","0,5",E_FB,eucalipto,Arthropoda,Arthropoda,1,,,Incompleto,"0,000","0,000"
Scinax aff. dolloi,MRCM1504,4,23,"0,6",E_FB,eucalipto,Vazio,Vazio,0,,,,"0,000","0,000"
Ischnocnema guentheri,MRCM1505,"4,7","17,75","0,5",E_CAA,eucalipto,Opiliones,Opiliones,1,,,Incompleto,"0,000","0,000"
Dendropsophus microps,MRCM1506,3,18,"0,1",M_AA,mata,Coleoptera,Coleoptera,2,4,1,,"33,510","16,755"
Scinax aff. dolloi,MRCM1507,5,23,"0,3",M_AA,mata,Coleoptera,Coleoptera,1,3,1,,"12,566","12,566"
Proceratophrys boiei,MRCM1508,30,56,22,M_BVA,mata,Coleoptera,Coleoptera,2,12,5,,"2513,274","1256,637"
Proceratophrys boiei,MRCM1508,30,56,22,M_BVA,mata,Coleoptera,Coleoptera,2,15,7,,"6157,522","3078,761"
Rhinella icterica,MRCM1509,48,125,250,M_PA,mata,Coleoptera,Coleoptera,1,43,17,,"52054,096","52054,096"
Rhinella icterica,MRCM1509,48,125,250,M_PA,mata,Coleoptera,Coleoptera,2,16,10,,"13404,129","6702,064"
Rhinella icterica,MRCM1509,48,125,250,M_PA,mata,Coleoptera,Coleoptera,2,10,7,,"4105,014","2052,507"
Rhinella icterica,MRCM1509,48,125,250,M_PA,mata,Coleoptera,Coleoptera,1,,,Incompleto,"0,000","0,000"
Proceratophrys boiei,MRCM1510,24,53,20,M_BVA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Aplastodiscus albosignatus,MRCM1511,11,"36,5","2,5",M_AA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Proceratophrys boiei,MRCM1512,"28,8",59,31,M_BVA,mata,Araneae,Araneae,1,,,Incompleto,"0,000","0,000"
Chiasmocleis mantiqueira,MRCM1513,"1,5",14,3,M_AA,mata,Hymenoptera,Formicidae,1,4,1,,"16,755","16,755"
Chiasmocleis mantiqueira,MRCM1513,"1,5",14,3,M_AA,mata,Coleoptera,Coleoptera,1,3,1,,"12,566","12,566"
Ischnocnema guentheri,MRCM1515,5,21,"0,5",E_VLB,eucalipto,Vazio,Vazio,0,,,,"0,000","0,000"
Proceratophrys boiei,MRCM1516,21,"55,5",25,M_PA,mata,Coleoptera,Coleoptera,2,14,8,,"7506,312","3753,156"
Ischnocnema guentheri,MRCM1519,"5,55",19,5,E_VLB,eucalipto,Coleoptera,Coleoptera,2,3,1,,"25,133","12,566"
Ischnocnema guentheri,MRCM1520,12,42,"7,5",E_VLB,eucalipto,Vazio,Vazio,0,,,,"0,000","0,000"
Ischnocnema guentheri,MRCM1520,12,42,"7,5",E_VLB,eucalipto,Opiliones,Opiliones,1,4,4,,"268,083","268,083"
Ischnocnema guentheri,MRCM1520,12,42,"7,5",E_VLB,eucalipto,Coleoptera,Coleoptera,2,7,2,,"234,572","117,286"
Ischnocnema guentheri,MRCM1520,12,42,"7,5",E_VLB,eucalipto,Dermaptera,Dermaptera,1,12,2,,"201,062","201,062"
Ischnocnema juipoca,MRCM1521,4,17,"1,9",E_TB,eucalipto,Collembola,Collembola,1,1,"0,5",,"1,047","1,047"
Ischnocnema juipoca,MRCM1521,4,17,"1,9",E_TB,eucalipto,Coleoptera,Coleoptera,1,5,1,,"20,944","20,944"
Ischnocnema juipoca,MRCM1521,4,17,"1,9",E_TB,eucalipto,Lepidoptera,Lepidoptera larva,1,13,2,,"217,817","217,817"
Ischnocnema juipoca,MRCM1521,4,17,"1,9",E_TB,eucalipto,Coleoptera,Coleoptera,1,3,1,,"12,566","12,566"
Ischnocnema juipoca,MRCM1521,4,17,"1,9",E_TB,eucalipto,Araneae,Araneae,1,6,3,,"226,195","226,195"
Boana prasina,MRCM1523,12,43,"5,1",M_BVA,mata,Vazio,Vazio,0,,,Matéria Vegetal,"0,000","0,000"
Bokermannohyla luctuosa,MRCM1524,11,50,"12,5",M_BVA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Boana latistriata,MRCM1525,7,25,"1,5",M_BVA,mata,Arthropoda,Arthropoda,1,,,Incompleto,"0,000","0,000"
Proceratophrys boiei,MRCM1526,"27,4","60,6",26,M_FB,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Scinax aff. duartei,MRCM1527,,,"1,5",M_BVA,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Scinax aff. dolloi,MRCM1528,"3,6","21,65",1,M_AB,mata,Vazio,Vazio,0,,,,"0,000","0,000"
Ololygon obtriangulata,MRCM1529,3,19,"0,5",M_FB,mata,Coleoptera,Coleoptera,1,2,1,,"8,378","8,378"
