Trilha,Trail,Environment,Order,Class.inferior,Length,Width,Obs,Volume
Fazenda C,E_FC,Eucalipto,Hymenoptera,Formicidae,9,"1,5",,"84,823"
Fazenda C,E_FC,Eucalipto,Hymenoptera,Formicidae,8,"1,5",,"75,398"
Fazenda C,E_FC,Eucalipto,Hymenoptera,Formicidae,8,"1,5",,"75,398"
Fazenda D,E_FD,Eucalipto,Blattodea,Blattodea,38,15,,"35814,156"
Trevo A,E_TA,Eucalipto,Coleoptera,Coleoptera,21,12,,"12666,902"
Trevo B,E_TB,Eucalipto,Coleoptera,Coleoptera,25,10,,"10471,976"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,21,10,,"8796,459"
Bela Vista D,M_BVD,Mata,Orthoptera,Ensifera,23,9,,"7803,716"
Bela Vista D,M_BVD,Mata,Orthoptera,Ensifera,29,7,,"5952,271"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,20,8,,"5361,651"
Fazenda A,M_FA,Mata,Opiliones,Opiliones,15,9,,"5089,380"
Bela Vista B,M_BVB,Mata,Coleoptera,Coleoptera,15,9,,"5089,380"
Araucária A,M_AA,Mata,Opiliones,Opiliones,11,10,,"4607,669"
Canal A,E_CAA,Eucalipto,Coleoptera,Coleoptera,15,8,,"4021,239"
Bela Vista B,M_BVB,Mata,Blattodea,Blattodea,15,8,,"4021,239"
Bela Vista C,M_BVC,Mata,Coleoptera,Coleoptera larva,26,6,,"3920,708"
Bela Vista B,M_BVB,Mata,Coleoptera,Coleoptera,14,8,,"3753,156"
Bela Vista C,M_BVC,Mata,Coleoptera,Coleoptera,14,8,,"3753,156"
Bela Vista C,M_BVC,Mata,Coleoptera,Coleoptera,14,7,,"2873,510"
Bela Vista D,M_BVD,Mata,Coleoptera,Coleoptera,19,6,,"2865,133"
Araucária B,M_AB,Mata,Orthoptera,Ensifera,27,5,,"2827,433"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,13,7,,"2668,259"
Barroso,M_BR,Mata,Coleoptera,Coleoptera,13,7,,"2668,259"
Trevo B,E_TB,Eucalipto,Coleoptera,Coleoptera,17,6,,"2563,540"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,12,7,,"2463,009"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,12,7,,"2463,009"
Bela Vista D,M_BVD,Mata,Coleoptera,Coleoptera,15,6,,"2261,947"
Fazenda B,M_FB,Mata,Coleoptera,Coleoptera,14,6,,"2111,150"
Vargem Limpa A,E_VLA,Eucalipto,Orthoptera,Ensifera,20,5,,"2094,395"
Trevo B,E_TB,Eucalipto,Blattodea,Blattodea,20,5,,"2094,395"
Fazenda C,E_FC,Eucalipto,Molusca,Lesma,20,5,,"2094,395"
Bela Vista C,M_BVC,Mata,Molusca,Lesma,20,5,,"2094,395"
Bela Vista B,M_BVB,Mata,Coleoptera,Coleoptera,12,6,,"1809,557"
Bela Vista D,M_BVD,Mata,Coleoptera,Coleoptera,12,6,,"1809,557"
Bela Vista C,M_BVC,Mata,Blattodea,Blattodea,15,5,,"1570,796"
Bela Vista C,M_BVC,Mata,Orthoptera,Ensifera,10,6,,"1507,964"
Canal A,E_CAA,Eucalipto,Coleoptera,Coleoptera,14,5,,"1466,077"
Fazenda D,E_FD,Eucalipto,Isopode,Isopoda,14,5,,"1466,077"
Araucaria C,M_AC,Mata,Coleoptera,Coleoptera,14,5,,"1466,077"
Vargem Limpa B,E_VLB,Eucalipto,Araneae,Araneae,13,5,,"1361,357"
Canal A,E_CAA,Eucalipto,Hemiptera,Heteroptera,9,6,Barata dágua,"1357,168"
Canal B,E_CAB,Eucalipto,Coleoptera,Coleoptera,9,6,,"1357,168"
Canal A,E_CAA,Eucalipto,Blattodea,Blattodea,18,4,,"1206,372"
Barroso,M_BR,Mata,Hemiptera,Heteroptera,"11,5",5,,"1204,277"
Bela Vista B Eucalipto,E_BVB,Eucalipto,Araneae,Araneae,11,5,,"1151,917"
Bela Vista C,M_BVC,Mata,Orthoptera,Ensifera,11,5,,"1151,917"
310 A,E_TRA,Eucalipto,Diptera,Mosca,11,5,,"1151,917"
Araucária B,M_AB,Mata,Coleoptera,Coleoptera,10,5,,"1047,198"
Fazenda C,E_FC,Eucalipto,Molusca,Lesma,15,4,,"1005,310"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera larva,14,4,,"938,289"
Bela Vista C,M_BVC,Mata,Orthoptera,Ensifera,14,4,,"938,289"
Barroso,M_BR,Mata,Blattodea,Blattodea,8,5,,"837,758"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,12,4,,"804,248"
Trevo A,E_TA,Eucalipto,Pulmonata,Lesma,20,3,,"753,982"
Barroso,M_BR,Mata,Coleoptera,Coleoptera,11,4,,"737,227"
Bela Vista C,M_BVC,Mata,Orthoptera,Ensifera,11,4,,"737,227"
Bela Vista C,M_BVC,Mata,Coleoptera,Coleoptera,11,4,,"737,227"
Trevo A,E_TA,Eucalipto,Hymenoptera,Formicidae,19,3,,"716,283"
Bela Vista A,M_BVA,Mata,Blattodea,Blattodea,10,4,Imaturo,"670,206"
Bela Vista C,M_BVC,Mata,Orthoptera,Ensifera,10,4,,"670,206"
Trevo B,E_TB,Eucalipto,Orthoptera,Ensifera,17,3,,"640,885"
Araucária B,M_AB,Mata,Araneae,Araneae,9,4,,"603,186"
Bela Vista D,M_BVD,Mata,Hemiptera,Heteroptera,9,4,,"603,186"
Trevo A,E_TA,Eucalipto,Coleoptera,Coleoptera,15,3,Staphylinidae,"565,487"
Capelinha B,M_CB,Mata,Coleoptera,Coleoptera,15,3,Staphylinidae,"565,487"
Bela Vista C,M_BVC,Mata,Coleoptera,Coleoptera,11,"3,5",,"564,439"
Canal B,E_CAB,Eucalipto,Isopoda,Isopoda,8,4,,"536,165"
Bela Vista C,M_BVC,Mata,Coleoptera,Coleoptera,8,4,,"536,165"
Fazenda D,E_FD,Eucalipto,Orthoptera,Ensifera,8,4,,"536,165"
Bela Vista D,M_BVD,Mata,Hemiptera,Heteroptera,8,4,,"536,165"
Bela Vista B,M_BVB,Mata,Orthoptera,Ensifera,14,3,,"527,788"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,14,3,,"527,788"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,14,3,,"527,788"
310 A,E_TRA,Eucalipto,Molusca,Lesma,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Molusca,Lesma,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
Bela Vista D,M_BVD,Mata,Hymenoptera,Formicidae,13,3,,"490,088"
