ID,E_TA,E_TB,E_CAA,E_CAB,E_VLA,E_VLB,E_FA,E_FB,E_BVA,E_BVB,E_FC,E_FD,E_TRA,E_TRB,M_CA,M_CB,M_AA,M_AB,M_PA,M_PB,M_FA,M_FB,M_BVA,M_BVB,M_BVC,M_BVD,M_AC,M_BR
E_TA,0,957.10355124749,2819.47660422123,3090.16029198215,3396.21777396485,2574.54513732684,4773.82667816675,4721.77533727727,1478.04459495634,2002.91608650153,4761.25500188086,4835.4993109224,1736.95834807336,1972.92836586119,771.192264721601,385.194872323456,755.322241977304,729.499624342172,4634.26852173294,4959.65925636088,2008.28337891949,1656.0129108075,2174.86727083792,1076.5857863063,1798.37240525948,1583.81670043806,521.324962359661,1144.88057213202
E_TB,957.10355124749,0,2060.98228611245,2439.85052445476,4335.76388821138,3516.2314401006,4055.52843742175,4053.48345034873,911.32341625596,1438.80397989896,4031.419665188,4111.80299559367,1266.04984484768,1492.01349461054,231.997042215731,576.667313085777,1704.546062002,1677.71514106654,5432.54516914288,5797.12096104717,2965.36224668216,2607.9674410794,1562.25513751324,862.946593873328,1025.15928577663,842.205400792758,1478.03800854609,676.354112716214
E_CAA,2819.47660422123,2060.98228611245,0,541.566973169271,6133.52936132944,5319.28539761938,1994.75870537463,2010.32279098535,1355.50930876879,927.913186872236,1970.63041685992,2050.82082388371,2951.19021022208,3087.83512542156,2287.85450439482,2527.79407067795,3416.56451705683,3516.27896750972,7445.82536030752,7779.10096416756,4660.79726407418,4386.5904031238,741.313333010826,1831.78160726831,1042.66041589021,1248.04084978726,3287.3676467276,1681.88750379617
E_CAB,3090.16029198215,2439.85052445476,541.566973169271,0,6296.19640860849,5495.08977540218,1694.64293155841,1633.28562102311,1617.83311588006,1089.26413108595,1690.93796706797,1759.26299166626,3431.98166262418,3582.50843323387,2655.49850729606,2842.88657460206,3610.32588608767,3747.9201542599,7720.63064581443,8027.59136078615,4808.32901524399,4570.84048462477,915.745798472998,2036.13102165182,1421.94804714663,1598.28313042227,3517.95380304167,1949.98349256569
E_VLA,3396.21777396485,4335.76388821138,6133.52936132944,6296.19640860849,0,821.910513083195,7982.3096123468,7867.1633706681,4782.86342673044,5234.62753471391,7984.39838767045,8048.98407018223,4562.15850558953,4719.02487572403,4122.62121917483,3761.68333955919,2720.34313059847,2666.76229510058,2072.40412451554,2072.98619041964,1490.41680980415,1752.31284147159,5422.34940974431,4301.87775985625,5162.64562373747,4947.94529587969,2883.64919594088,4468.14959698921
E_VLB,2574.54513732684,3516.2314401006,5319.28539761938,5495.08977540218,821.910513083195,0,7185.39833180135,7079.37950334521,3966.52973489313,4426.40109923112,7185.33069180242,7251.46610398369,3800.37528278002,3970.64586566813,3304.87912709788,2941.36250900439,1903.19835074138,1845.05028387863,2530.24595574337,2673.90981926416,728.141429117932,933.278263530049,4613.34284398259,3488.72627774233,4342.47420113489,4127.60456110307,2061.79009693023,3649.64900597954
E_FA,4773.82667816675,4055.52843742175,1994.75870537463,1694.64293155841,7982.3096123468,7185.39833180135,0,333.87283125389,3295.97585726539,2781.06215260091,82.9955354497602,70.274450557652,4874.65502342356,4980.17121293445,4281.63668255934,4506.6501597596,5304.67729752856,5441.16600701822,9407.86895785278,9720.65867922728,6492.56857232941,6263.5465373353,2602.00086348737,3729.41350195142,3033.91817114984,3233.24553193852,5211.09372000142,3629.30520196915
E_FB,4721.77533727727,4053.48345034873,2010.32279098535,1633.28562102311,7867.1633706681,7079.37950334521,333.87283125389,0,3251.11681527012,2718.95239154258,412.776212891003,382.685361136794,4942.18572480261,5061.59885720584,4274.70531973038,4475.17869822437,5216.41912620613,5368.64559496839,9347.9212346043,9645.59950696344,6376.88770991337,6165.52901578258,2548.7754135561,3660.10950589895,3028.39841937872,3217.91393575935,5139.30694801855,3583.1859044505
E_BVA,1478.04459495634,911.32341625596,1355.50930876879,1617.83311588006,4782.86342673044,3966.52973489313,3295.97585726539,3251.11681527012,0,547.344616303239,3283.22550279098,3357.49889564876,2121.3753583859,2327.45311157761,1092.28578413105,1228.29618399596,2063.33270283394,2162.16267706097,6112.31301926908,6433.16974086543,3318.43362066043,3033.35949349224,703.147661353465,494.57724950761,444.368594416489,292.524718493614,1932.80212205965,333.342460938652
E_BVB,2002.91608650153,1438.80397989896,927.913186872236,1089.26413108595,5234.62753471391,4426.40109923112,2781.06215260091,2718.95239154258,547.344616303239,0,2773.56086890746,2844.55832566188,2589.07380549189,2778.681475808,1632.65509101032,1773.00517952972,2531.36707325441,2660.12224865316,6631.43795826405,6939.61343082089,3753.32621392621,3497.30591525359,189.148643181975,948.592298391965,566.809555424952,635.117420118413,2430.03957749413,870.927797393176
E_FC,4761.25500188086,4031.419665188,1970.63041685992,1690.93796706797,7984.39838767045,7185.33069180242,82.9955354497602,412.776212891003,3283.22550279098,2773.56086890746,0,88.9131496339652,4833.80165753175,4936.17297476417,4258.48090018984,4489.22905217402,5300.85949803733,5433.27358876867,9395.51045481196,9712.03646893395,6495.27329201694,6261.74825694779,2592.71080525121,3722.14843214879,3012.01899124546,3213.37522636918,5203.15428900285,3616.39058848127
E_FD,4835.4993109224,4111.80299559367,2050.82082388371,1759.26299166626,8048.98407018223,7251.46610398369,70.274450557652,382.685361136794,3357.49889564876,2844.55832566188,88.9131496339652,0,4920.53320988502,5023.68178746561,4338.41692261553,4566.22054084157,5369.56397271965,5504.65975031226,9469.71215744009,9783.94982032575,6559.38633696056,6329.08806262618,2664.81857046435,3793.06631628136,3091.25945622899,3291.59855652045,5274.56401630611,3690.78359800362
E_TRA,1736.95834807336,1266.04984484768,2951.19021022208,3431.98166262418,4562.15850558953,3800.37528278002,4874.65502342356,4942.18572480261,2121.3753583859,2589.07380549189,4833.80165753175,4920.53320988502,0,239.986559308039,1204.57578927349,1455.52001413469,2398.2811934114,2217.00800636964,5167.13772482293,5610.7781763709,3449.06201015686,3037.04978169121,2666.28794030919,2126.34945237954,2061.3351128144,1954.00497179365,2120.01019646408,1936.86897504581
E_TRB,1972.92836586119,1492.01349461054,3087.83512542156,3582.50843323387,4719.02487572403,3970.64586566813,4980.17121293445,5061.59885720584,2327.45311157761,2778.681475808,4936.17297476417,5023.68178746561,239.986559308039,0,1440.85114495954,1695.41507343912,2623.10955790289,2432.77961788536,5238.88432575548,5694.71417076751,3646.0374291983,3231.93736112487,2846.04934246028,2354.46030798701,2238.7330100607,2145.33420028058,2344.5724356568,2157.39147628423
M_CA,771.192264721601,231.997042215731,2287.85450439482,2655.49850729606,4122.62121917483,3304.87912709788,4281.63668255934,4274.70531973038,1092.28578413105,1632.65509101032,4258.48090018984,4338.41692261553,1204.57578927349,1440.85114495954,0,386.608669019608,1526.324242957,1475.23827153433,5200.66399495504,5566.35341721822,2771.39022638367,2404.82378132413,1766.43591349446,948.657829548614,1248.44727147749,1057.7961927865,1285.67744782752,816.206262291832
M_CB,385.194872323456,576.667313085777,2527.79407067795,2842.88657460206,3761.68333955919,2941.36250900439,4506.6501597596,4475.17869822437,1228.29618399596,1773.00517952972,4489.22905217402,4566.22054084157,1455.52001413469,1695.41507343912,386.608669019608,0,1139.86596567738,1101.07847048384,4920.39596338151,5266.54195404613,2390.72586900025,2031.30079905648,1930.76560554915,923.540023664523,1489.2072659115,1279.90614047982,903.32314183519,903.088065452966
M_AA,755.322241977304,1704.546062002,3416.56451705683,3610.32588608767,2720.34313059847,1903.19835074138,5304.67729752856,5216.41912620613,2063.33270283394,2531.36707325441,5300.85949803733,5369.56397271965,2398.2811934114,2623.10955790289,1526.324242957,1139.86596567738,0,296.512222762122,4163.50173333702,4433.27845919015,1277.34365558371,970.103510264566,2716.69256113042,1587.87360649273,2444.95501310923,2231.00930261615,278.548356628495,1748.01356534233
M_AB,729.499624342172,1677.71514106654,3516.27896750972,3747.9201542599,2666.76229510058,1845.05028387863,5441.16600701822,5368.64559496839,2162.16267706097,2660.12224865316,5433.27358876867,5504.65975031226,2217.00800636964,2432.77961788536,1475.23827153433,1101.07847048384,296.512222762122,0,3983.44112416215,4279.67885618591,1301.10615611924,930.367694983454,2840.74788169625,1711.85191635982,2512.57548718371,2297.27100001249,230.122647961539,1834.53235330904
M_PA,4634.26852173294,5432.54516914288,7445.82536030752,7720.63064581443,2072.40412451554,2530.24595574337,9407.86895785278,9347.9212346043,6112.31301926908,6631.43795826405,9395.51045481196,9469.71215744009,5167.13772482293,5238.88432575548,5200.66399495504,4920.39596338151,4163.50173333702,3983.44112416215,0,535.864166097569,3236.25743273986,3288.48299035308,6807.06428181174,5687.8202575738,6409.5842790195,6199.39098318601,4211.39981229394,5779.11996119348
M_PB,4959.65925636088,5797.12096104717,7779.10096416756,8027.59136078615,2072.98619041964,2673.90981926416,9720.65867922728,9645.59950696344,6433.16974086543,6939.61343082089,9712.03646893395,9783.94982032575,5610.7781763709,5694.71417076751,5566.35341721822,5266.54195404613,4433.27845919015,4279.67885618591,535.864166097569,0,3400.15482469311,3513.02851635384,7119.34793264256,5991.52308712479,6751.44365233163,6538.69749134125,4509.68302336403,6101.49912367862
M_FA,2008.28337891949,2965.36224668216,4660.79726407418,4808.32901524399,1490.41680980415,728.141429117932,6492.56857232941,6376.88770991337,3318.43362066043,3753.32621392621,6495.27329201694,6559.38633696056,3449.06201015686,3646.0374291983,2771.39022638367,2390.72586900025,1277.34365558371,1301.10615611924,3236.25743273986,3400.15482469311,0,416.186532702689,3941.77855298644,2830.64236959659,3714.51834890303,3501.92365107864,1487.50419762296,3013.31933723776
M_FB,1656.0129108075,2607.9674410794,4386.5904031238,4570.84048462477,1752.31284147159,933.278263530049,6263.5465373353,6165.52901578258,3033.35949349224,3497.30591525359,6261.74825694779,6329.08806262618,3037.04978169121,3231.93736112487,2404.82378132413,2031.30079905648,970.103510264566,930.367694983454,3288.48299035308,3513.02851635384,416.186532702689,0,3683.60034287793,2556.89309976642,3410.33519466072,3195.66068604598,1137.25538162448,2716.49165484096
M_BVA,2174.86727083792,1562.25513751324,741.313333010826,915.745798472998,5422.34940974431,4613.34284398259,2602.00086348737,2548.7754135561,703.147661353465,189.148643181975,2592.71080525121,2664.81857046435,2666.28794030919,2846.04934246028,1766.43591349446,1930.76560554915,2716.69256113042,2840.74788169625,6807.06428181174,7119.34793264256,3941.77855298644,3683.60034287793,0,1131.09960844668,607.523402427574,729.59081384662,2610.6260845327,1034.45473070158
M_BVB,1076.5857863063,862.946593873328,1831.78160726831,2036.13102165182,4301.87775985625,3488.72627774233,3729.41350195142,3660.10950589895,494.57724950761,948.592298391965,3722.14843214879,3793.06631628136,2126.34945237954,2354.46030798701,948.657829548614,923.540023664523,1587.87360649273,1711.85191635982,5687.8202575738,5991.52308712479,2830.64236959659,2556.89309976642,1131.09960844668,0,924.894117466136,732.928428034999,1481.84412810284,272.175746829794
M_BVC,1798.37240525948,1025.15928577663,1042.66041589021,1421.94804714663,5162.64562373747,4342.47420113489,3033.91817114984,3028.39841937872,444.368594416489,566.809555424952,3012.01899124546,3091.25945622899,2061.3351128144,2238.7330100607,1248.44727147749,1489.2072659115,2444.95501310923,2512.57548718371,6409.5842790195,6751.44365233163,3714.51834890303,3410.33519466072,607.523402427574,924.894117466136,0,215.313669780604,2287.21303548809,702.975341169977
M_BVD,1583.81670043806,842.205400792758,1248.04084978726,1598.28313042227,4947.94529587969,4127.60456110307,3233.24553193852,3217.91393575935,292.524718493614,635.117420118413,3213.37522636918,3291.59855652045,1954.00497179365,2145.33420028058,1057.7961927865,1279.90614047982,2231.00930261615,2297.27100001249,6199.39098318601,6538.69749134125,3501.92365107864,3195.66068604598,729.59081384662,732.928428034999,215.313669780604,0,2071.91270183929,494.983719801095
M_AC,521.324962359661,1478.03800854609,3287.3676467276,3517.95380304167,2883.64919594088,2061.79009693023,5211.09372000142,5139.30694801855,1932.80212205965,2430.03957749413,5203.15428900285,5274.56401630611,2120.01019646408,2344.5724356568,1285.67744782752,903.32314183519,278.548356628495,230.122647961539,4211.39981229394,4509.68302336403,1487.50419762296,1137.25538162448,2610.6260845327,1481.84412810284,2287.21303548809,2071.91270183929,0,1605.9367078641
