,Boana latistriata,Boana prasina,Bokermannohyla luctuosa,Chiasmocleis mantiqueira,Dendropsophus microps,Dendropsophus minutus,Hylodes aff. sazimai,Ischnocnema guentheri,Ischnocnema holti,Ololygon obtriangulata,Physalaemus olfersii,Proceratophrys boiei,Proceratophrys itamari,Rhinella icterica,Rhinella ornata,Scinax aff. dolloi
Acari,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Araneae,2,0,3,0,2,1,2,4,0,6,2,0,1,0,0,5
Blattodea,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0
Chilopoda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coleoptera,1,2,2,1,6,0,3,1,2,1,6,14,2,128,7,3
Coleoptera.larva,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0
Collembola,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Dermaptera,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0
Diplopoda,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0
Ensifera,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Formicidae,1,3,0,11,0,0,0,1,0,0,20,0,0,120,59,0
Heteroptera,1,0,3,0,0,1,0,1,1,0,0,1,1,2,0,0
Isopoda,0,0,0,0,0,0,0,2,0,1,0,1,2,1,0,0
Isoptera,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Lepidoptera.larva,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0
Mosca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Opiliones,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0
Psocodea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vespa,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
