"sites","Boana latistriata","Boana prasina","Bokermannohyla luctuosa","Chiasmocleis mantiqueira","Dendropsophus microps","Dendropsophus minutus","Hylodes aff. sazimai","Ischnocnema guentheri","Ischnocnema holti","Ololygon obtriangulata","Physalaemus olfersii","Proceratophrys boiei","Proceratophrys itamari","Rhinella icterica","Rhinella ornata","Scinax aff. dolloi","Ischnocnema juipoca","Physalaemus cuvieri"
"E_FA",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"M_BVB",0,0,1,0,0,0,0,0,0,1,4,3,0,1,1,2,0,0
"M_AA",0,0,0,1,3,0,0,0,0,2,2,0,1,0,0,1,0,0
"M_BVA",1,0,2,0,0,1,2,2,1,1,0,1,1,5,1,0,0,0
"M_PA",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"E_VLB",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"E_TB",0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0
"M_FB",0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"M_PB",0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
"E_VLA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E_TA",0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"E_FB",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0
"M_CB",0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
"E_CAA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"M_FA",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"M_AB",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"M_CA",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_BVA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"E_BVB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"E_CAB",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"M_BR",5,0,0,0,0,1,2,1,0,1,0,0,0,3,0,0,0,0
"E_FD",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1
"E_TRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"M_AC",0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"M_BVC",0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
"M_BVD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
