,Chiasmocleis mantiqueira,Ischnocnema guentheri,Ischnocnema juipoca,Ololygon obtriangulata,Physalaemus cuvieri,Physalaemus olfersii,Rhinella icterica
Acari,1,0,0,0,0,0,0
Araneae,0,0,423,343,4,0,0
Blattodea,0,201,1085,0,0,0,0
Chilopoda,0,507,46,0,0,0,0
Coleoptera,46,1064,188,0,276,8,33096
Collembola,0,0,1,0,0,0,0
Dermaptera,0,201,0,0,0,0,0
Diptera.larva,0,0,21,0,0,0,0
Formicidae,769,0,73,0,88,264,0
Isopoda,0,0,188,0,84,0,0
Lepidoptera.larva,0,0,268,0,0,0,0
Lesma,0,0,29,0,0,0,0
Mosquito,0,0,0,0,3,0,0
Opiliones,0,737,0,0,0,0,0
Vespa,0,0,8,21,0,0,0
