,Boana latistriata,Boana prasina,Bokermannohyla luctuosa,Chiasmocleis mantiqueira,Dendropsophus microps,Dendropsophus minutus,Hylodes aff. sazimai,Ischnocnema guentheri,Ischnocnema holti,Ololygon obtriangulata,Physalaemus olfersii,Proceratophrys boiei,Proceratophrys itamari,Rhinella icterica,Rhinella ornata,Scinax aff. dolloi
Acari,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0
Araneae,67,0,2476,0,80,34,21,105,0,406,17,0,101,0,0,822
Blattodea,226,670,17,0,0,0,0,0,34,0,0,50383,0,0,0,0
Chilopoda,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
Coleoptera,13,218,739,13,130,0,201,871,272,8,484,31005,117,571338,3736,197
Coleoptera.larva,0,0,0,0,0,0,0,0,5,0,0,21,0,1477,0,0
Collembola,10,0,2,0,0,0,50,0,0,0,0,0,0,8,0,0
Dermaptera,0,984,0,0,0,0,0,377,0,0,0,0,0,1977,0,0
Diplopoda,0,0,0,0,0,0,0,0,0,0,0,42,0,25644,1319,0
Ensifera,377,0,3422,0,0,0,0,0,0,0,0,5676,0,0,0,0
Formicidae,21,302,0,151,0,0,0,84,0,0,259,0,0,5777,2417,0
Heteroptera,151,0,5391,0,0,13,0,17,8,0,0,1072,84,2714,0,0
Isopoda,0,0,0,0,0,0,0,348,0,264,0,151,289,113,0,0
Isoptera,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0
Lepidoptera.larva,0,0,0,0,0,318,1005,0,0,0,0,0,0,2053,0,0
Mosca,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0
Opiliones,0,0,855,0,0,0,0,0,0,0,0,0,0,15205,151,0
Psocodea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vespa,0,0,0,0,0,0,101,0,13,0,0,0,0,0,0,0
